SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
502330,ANDPAPER    ,B ,Q,257.50,257.50,236.65,238.80,239.80,240.35,128,1764,429363.00,
502355,BALKRISH IND,A ,Q,1650.00,1650.00,1605.35,1627.55,1630.40,1625.35,1214,17834,29040778.00,
502420,ORIENT PAPER,B ,Q,26.25,27.75,26.25,27.25,27.25,26.20,681,202115,5449680.00,
502445,CITADEL     ,X ,Q,10.88,10.88,9.88,10.34,10.34,10.40,8,41199,441925.00,
502448,ROLLATAINER ,T ,Q,3.40,3.49,3.23,3.23,3.23,3.40,7,2119,7118.00,
502450,SESHA.PAPER ,A ,Q,159.65,160.80,157.70,159.05,158.95,158.65,59,1628,260320.00,
502587,NATHIND     ,X ,Q,92.35,95.75,92.35,93.00,93.00,92.30,45,5560,518135.00,
502589,VAPI PAPER  ,XT,Q,23.75,23.75,22.60,22.60,22.60,23.75,7,44,1030.00,
502742,SINTEX IND. ,T ,Q,3.90,3.90,3.90,3.90,3.90,3.72,140,211538,824998.00,
502820,DCM LTD.    ,B ,Q,27.10,27.10,26.25,27.00,27.00,26.70,45,1208,32272.00,
502865,FORBES & CO ,B ,Q,1599.90,1660.00,1526.00,1556.00,1549.95,1598.80,220,2317,3686042.00,
502873,H.P.COTTON  ,X ,Q,45.60,45.60,42.10,43.95,43.95,43.80,18,1731,73714.00,
502901,JAMSHRI     ,X ,Q,2979.00,2979.00,2950.00,2979.00,2979.00,2979.00,5,17,50498.00,
502933,KATARE SPG. ,XT,Q,14.36,14.36,14.36,14.36,14.36,14.65,2,25,359.00,
502937,KESORAM IND ,B ,Q,81.90,82.85,76.95,78.30,78.75,81.85,923,104042,8281580.00,
502958,LAKSHMI MILL,X ,Q,1949.00,2000.00,1852.05,1984.25,1999.00,1912.60,62,419,813661.00,
502986,VARDH TEXT  ,A ,Q,1197.40,1214.95,1195.05,1210.35,1213.15,1189.70,109,378,455336.00,
503015,MODERN INDIA,XT,Q,49.00,49.35,47.00,48.00,48.00,48.45,14,1374,66605.00,
503031,PENLAND LTD ,B ,Q,6.31,6.36,5.96,5.96,5.96,6.27,164,58901,357066.00,
503092,PASUPATI SPG,Z ,Q,5.40,5.40,5.40,5.40,5.40,5.60,1,39,210.00,
